timestamp,session_id,round,opponent,reaction_time_ms,won,false_start
2026-04-30T17:52:11,20260430T175211,1,user1,,1,0
2026-04-30T17:52:23,20260430T175217,1,user1,879,1,0
2026-04-30T17:52:34,20260430T175217,2,user1,,0,0
2026-04-30T17:52:51,20260430T175217,3,user1,,0,0
2026-04-30T17:52:53,20260430T175217,4,user1,,0,1
2026-04-30T17:53:40,20260430T175259,1,user1,27467,1,0
2026-04-30T17:53:46,20260430T175259,2,user1,,0,0
2026-04-30T17:54:00,20260430T175259,3,user1,,0,0
2026-04-30T17:54:13,20260430T175259,4,user1,196,1,0
2026-04-30T17:54:24,20260430T175259,5,user1,,0,0
2026-04-30T18:16:36,20260430T175430,1,user1,,1,0
2026-04-30T18:16:54,20260430T181642,1,user1,,1,0
2026-04-30T18:17:16,20260430T181700,1,user1,,0,0
2026-04-30T18:17:20,20260430T181700,2,user1,1057,1,0
2026-04-30T18:17:38,20260430T181700,3,user1,222,1,0
2026-04-30T18:17:55,20260430T181700,4,user1,156,1,0
2026-04-30T18:18:02,20260430T181802,1,user1,,1,0
2026-04-30T18:18:12,20260430T181808,1,user1,2414,1,0
2026-04-30T18:20:32,20260430T181808,2,user1,119807,1,0
2026-04-30T18:20:49,20260430T181808,3,user1,,0,0
